;;;;;;;;;;;;;;;;
;;;;;;;;evento que causou as avarias;;idade da pessoaa que morreu, no caso de 1 fatalidade;;;;;;
;estado;cidade;area_da_industria;area_especifica;cod_CNAE;processo;processo_especifico;evento;evento_especifico;idade*;vitimas;fatalidades;grau;mês;ano;url
;SP;Hortolândia;Alimentos;pão de queijo;C10;Produção;produção de pão de queijo;Vazamento;mangueira de oleo de soja que abastece a produção de pão de queijo se rompeu;NaN;0;0;2;12;2021;https://g1.globo.com/sp/campinas-regiao/noticia/2021/12/14/vazamento-de-12-mil-litros-de-oleo-de-empresa-causa-interdicao-de-avenida-em-hortolandia.ghtml
;CE;Forquilha;Alimentos;Castanhas;C10;NaN;NaN;Incêndio;Um incêndio atingiu as fornalhas;NaN;0;0;3;10;2021;https://g1.globo.com/ce/ceara/noticia/2021/10/25/incendio-atinge-fornalhas-de-industria-em-forquilha-no-ceara-video.ghtml
;SP;Jundiaí;Produtos de metal;Para-choque;C25;Produção;prensa de chapa metálica;Religamento inesperado;A vítima entrou em uma prensa;63;1;1;4;5;2021;https://g1.globo.com/sp/sorocaba-jundiai/noticia/2021/05/31/idoso-morre-prensado-em-maquina-durante-trabalho-em-empresa-de-jundiai.ghtml
;SP;Suzano;Produção de máquinas;Construção civil;C28;NaN;NaN;Queda de objeto;foi atingido por uma máquina;45;1;1;4;6;2019;https://g1.globo.com/sp/mogi-das-cruzes-suzano/noticia/2019/06/12/funcionario-e-atingido-por-maquina-e-morre-em-industria-de-suzano.ghtml
;SP;Santa Bárbara d'Oeste;Produção de máquinas;Peças industriais;C28;NaN;NaN;Queda de objeto;vítima atingida por um molde de areia ;23;1;1;4;9;2020;https://g1.globo.com/sp/piracicaba-regiao/noticia/2020/09/14/funcionario-de-empresa-de-santa-barbara-doeste-morre-em-acidente-de-trabalho.ghtml
;BA;Ilhéus;Alimentos;Cacau;C10;Produção;NaN;Vazamento;NaN;NaN;5;0;3;9;2019;https://g1.globo.com/ba/bahia/noticia/2019/09/24/cinco-operarios-passam-mal-apos-vazamento-de-gas-em-industria-no-sul-da-bahia.ghtml
;MG;Belo Horizonte;Metalurgia;Ferro-gusa;C24;Limpeza;limpeza de forno;Vazamento;gas tóxico liberado durante o processamento do ferro-gusa;NaN;2;1;4;9;2019;https://g1.globo.com/mg/minas-gerais/noticia/2019/09/26/funcionario-de-industria-de-ferro-gusa-morre-em-vazamento-de-gas-dentro-de-alto-forno-em-betim.ghtml
;RJ;Resende;Química;NaN;C20;Produção;Reação de forma descuidada;Explosão;Explosão de reator;NaN;0;0;4;9;2019;https://g1.globo.com/rj/sul-do-rio-costa-verde/noticia/2019/09/17/acidente-na-industria-quimica-archroma-assusta-moradores-de-resende.ghtml
;PB;Guarabira;Alimentos;Milho;C10;Armazenamento;Silo de grãos de milho;Explosão;Explosão do silo;NaN;0;0;3;9;2018;https://g1.globo.com/pb/paraiba/noticia/2018/09/11/silo-de-industria-de-alimentos-explode-em-guarabira-na-paraiba.ghtml
;MT;Primavera do Leste;Alimentos;Café;C10;Produção;Torrar o café;Incêndio;Incêndio em uma torradeira de café;NaN;1;0;3;10;2021;https://g1.globo.com/mt/mato-grosso/noticia/2021/10/15/incendio-atinge-equipamento-de-industria-de-cafe-e-funcionario-e-levado-para-hospital-em-mt.ghtml
